original_lat,original_long,long2,lat2,manual_rev
17M812876,9963217,-78.1893508500216,-0.332384282002685,
17M812903,9963172,-78.1891083825486,-0.332790848342768,
17M812873,9963118,-78.1893775246363,-0.333278888760035,
17M812949,9963219,-78.1886956063003,-0.332366021407738,
17M812949,9963254,-78.1886956957497,-0.332049749206803,
17M0813101,9963302,-78.1873314658395,-0.331615613998898,
17M0813144,9963342,-78.1869456000585,-0.331254050102857,
17M0813203,9963323,-78.1864159680437,-0.331425588916456,
17M0813265,9963333,-78.1858594822931,-0.331335066364235,
17M0812031,9963075,-78.1969352438858,-0.33366962441428,
17M0812043,9963110,-78.1968276205461,-0.333353319078086,
17M0812023,9963142,-78.1970072237997,-0.333064205336891,
17M0812033,9963188,-78.1969175805125,-0.332648504638066,
17M0812069,9963178,-78.1965944164167,-0.332738776258291,
00°35.644S,077°53.781W,-77.89635,-0.594066666666667,
0°22.925S,078°04.173W,-78.06955,-0.382083333333333,
00°06.062S,077°35.031W,-17.58385,-0.101033333333333,yes
"00°36""344' S","077°53""278W",-77.8833333333333,-0.6,
00°05.959S,077°34.959W,-77.58265,-0.0993166666666667,
00°05.966S,077°34.895 W,-77.5815833333333,-0.0994333333333333,
"00°37'65.3""S","077°50'51"" W",-918.833333333333,-47.8833333333333,yes
0°35.771S,077°53.374 W,-77.8895666666667,-0.596183333333333,
0°40.353'S,077°55.1000,-77.9183333333333,-40.5891666666667,yes
0°44.364'S,077°55.097W,-77.9182833333333,-44.6066666666667,yes
0°40.208'S,077°55.017W,-77.91695,-43.4666666666667,yes
"00°36""060' S","077°53""4070W",-77.8833333333333,-0.6,
00°37.396S,077°54.075W,-77.90125,-0.623266666666667,
00°36.103S,077°53.3W,-85.8833333333333,-0.601716666666667,yes
00°21.336 S,078°09.033W,-228.55,-0.3556,yes
00°21.308 S,078°09.061W,-229.016666666667,-0.355133333333333,yes
00°36'1709 S,077°53'370W,-77.8833333333333,-0.6,
00°36'127.7 S,077°53'317W,-77.8833333333333,-0.6,
"00°35,783 S",077°53'323W,-77.8833333333333,-0.596383333333333,
00°22.227S,078°10.102 W,-78.1683666666667,-0.37045,
00°39.800S,077°55.187W,-77.9197833333333,-0.663333333333333,
00°43.564S,077°46.111W,-77.7685166666667,-0.726066666666667,
00°41.992S,077°43.579W,-77.7263166666667,-0.699866666666667,
00°43.282S,077°38.468W,-77.6411333333333,-0.721366666666667,
00°35.024S,077°52.414W,-77.8735666666667,-0.583733333333333,
00°35.633S,077°54.037W,-77.9006166666667,-0.593883333333333,
00°36.039S,077°53.360W,-77.8893333333333,-0.60065,
00°35.483S,077°53.109W,-77.88515,-0.591383333333333,
00°38.285S,077°54.614W,-77.9102333333333,-0.638083333333333,
00°34.561S,077°52.229W,-77.8704833333333,-0.576016666666667,
00°35.641S,077°53.984W,-77.8997333333333,-0.594016666666667,
00°35.614S,077°54.025W,-77.9004166666667,-0.593566666666667,
00°37.457S,077°50.483W,-77.8413833333333,-0.624283333333333,
00°37.505S,077°50.488W,-77.8414666666667,-0.625083333333333,
00°17.536S,077°46.007,-77.7667833333333,-0.292266666666667,
