ID_COORD,original_lat,original_long,lat2,long2
1,00°35.644S,0077°53.781W,-0.594066666666667,-77.89635
2,0°22.925S,078°04.173W,-0.382083333333333,-78.06955
3,00°06.062S,077°35.031W,-0.101033333333333,-17.58385
4,00°36.344' S,077°53.278W,-0.6,-77.8833333333333
5,00°05.959S,077°34.959W,-0.0993166666666667,-77.58265
6,00°05.966S,077°34.895 W,-0.0994333333333333,-77.5815833333333
7,"00°37'65.3""S","077°50'51""W",-47.8833333333333,-918.833333333333
8,0°35.771S,077°53.374 W,-0.596183333333333,-77.8895666666667
9,0°40.353'S,077°55.1000,-40.5891666666667,-77.9183333333333
10,0°44.364'S,077°55.097W,-44.6066666666667,-77.9182833333333
11,0°40.208'S,077°55.017W,-43.4666666666667,-77.91695
12,"00°36""06' S","077°53""40.70W",-0.6,-77.8833333333333
13,00°37.396S,077°54.075W,-0.623266666666667,-77.90125
14,00°36.103S,077°53.3W,-0.601716666666667,-85.8833333333333
15,00°21.336 S,078°09.033W,-0.3556,-228.55
16,00°21.308 S,078°09.061W,-0.355133333333333,-229.016666666667
17,00°36.1709'S,077°53.370'W,-0.6,-77.8833333333333
18,00°36.1277'S,077°53.317'W,-0.6,-77.8833333333333
19,00°35.783 S,077°53.323'W,-0.596383333333333,-77.8833333333333
20,00°22.227'S,078°10.102'W,-0.37045,-78.1683666666667
21,00°39.800S,077°55.187W,-0.663333333333333,-77.9197833333333
22,00°43.564S,077°46.111W,-0.726066666666667,-77.7685166666667
23,00°41.992S,077°43.579W,-0.699866666666667,-77.7263166666667
24,00°43.282S,077°38.468W,-0.721366666666667,-77.6411333333333
25,00°35.024S,077°52.414W,-0.583733333333333,-77.8735666666667
26,00°35.633S,077°54.037W,-0.593883333333333,-77.9006166666667
27,00°36.039S,077°53.360W,-0.60065,-77.8893333333333
28,00°35.483S,077°53.109W,-0.591383333333333,-77.88515
29,00°38.285S,077°54.614W,-0.638083333333333,-77.9102333333333
30,00°34.561S,077°52.229W,-0.576016666666667,-77.8704833333333
31,00°35.641S,077°53.984W,-0.594016666666667,-77.8997333333333
32,00°35.614S,077°54.025W,-0.593566666666667,-77.9004166666667
33,00°37.457S,077°50.483W,-0.624283333333333,-77.8413833333333
34,00°37.505S,077°50.488W,-0.625083333333333,-77.8414666666667
35,00°17.536S,077°46.007,-0.292266666666667,-77.7667833333333
36,00°16.336S,077°45.947,-0.272266666666667,-77.7657833333333
37,00°38.980S,077°47.920W,-0.649666666666667,-77.7986666666667
38,00°23.217S,078°07.762W,-386.95,-78.1293666666667
39,00°22.341S,078°06.319W,-0.37235,-78.1053166666667
40,00°39.676S,077°47.499 W,-0.661266666666667,-77.79165
41,00°41.201S,077°48.185W,-0.686683333333333,-77.8030833333333
42,00°39.068S,077°46.988 W,-0.651133333333333,-77.7831333333333
43,00°26.227S,077°51.007W,-0.437116666666667,-77.8501166666667
44,0°22.686S,078°04.271W,-0.3781,-130071.183333333
45,00°05.983S,077°34.815W,-0.0997166666666666,-77.58025
46,00°17. 744S,077°45.474W,-0.295733333333333,-77.7579
47,00°18. 329S,077°45.054W,-0.305483333333333,-77.7509
48,00°17.314S,077°46.223W,-0.288566666666667,-77.7703833333333
49,00° 21.878S,078°05.096W,-0.364633333333333,-78.0849333333333
